Voltage_measured,Current_measured,Temperature_measured,Current_charge,Voltage_charge,Time,Capacity,id_cycle,type,ambient_temperature,time
4.190942779501297,-0.0017988012138866957,5.992240761138136,0.0006,0.0,0.0,0.045219329019542696,31,discharge,4,2010.0
4.191170886079178,-0.0020541238004397723,6.012371509027969,0.0006,4.206,9.297000000000004,0.045219329019542696,31,discharge,4,2010.0
3.412636512799358,-4.025809900001412,6.229468774247825,3.996,1.442,21.469,0.045219329019542696,31,discharge,4,2010.0
3.275522784721286,-4.024900832096408,6.653213985651535,3.996,1.349,32.969,0.045219329019542696,31,discharge,4,2010.0
3.0155123675505506,-4.026220736016629,7.1761222256979105,3.996,1.182,44.391000000000005,0.045219329019542696,31,discharge,4,2010.0
2.537432660529435,-4.0260558730729405,7.850618871521759,3.996,0.826,55.813,0.045219329019542696,31,discharge,4,2010.0
1.9596888390790306,-3.790577132388994,8.78048929407035,3.995,0.249,67.219,0.045219329019542696,31,discharge,4,2010.0
3.8972299114123725,-0.0015187412588181573,9.68990747281963,0.0002,0.001,78.922,0.045219329019542696,31,discharge,4,2010.0
3.9877705762471405,-0.003794248169234692,10.065896804132784,0.0004,0.001,90.766,0.045219329019542696,31,discharge,4,2010.0
4.026862173861002,-0.0027426451000522926,10.184555541046695,0.0002,0.001,102.656,0.045219329019542696,31,discharge,4,2010.0
4.049225741527293,-0.003284424973348241,10.177925729515806,0.0002,0.001,114.516,0.045219329019542696,31,discharge,4,2010.0
4.063803679142383,-0.00044032310991563595,10.149648386323083,0.0004,0.001,126.35900000000001,0.045219329019542696,31,discharge,4,2010.0
4.074503131276445,-0.002760860458599958,10.086573329313207,0.0004,0.001,138.188,0.045219329019542696,31,discharge,4,2010.0
4.082814162490315,-0.0029145559667631323,10.017967267274674,0.0004,0.001,150.063,0.045219329019542696,31,discharge,4,2010.0
4.089663717326426,-0.0011604506811602603,9.971979642818159,0.0004,0.001,161.953,0.045219329019542696,31,discharge,4,2010.0
4.095079569986994,-0.0022379212993592287,9.894761192270353,0.0004,0.001,173.76600000000002,0.045219329019542696,31,discharge,4,2010.0
4.099931087047448,-0.0016381147384993673,9.85002333199662,0.0004,0.001,185.64100000000002,0.045219329019542696,31,discharge,4,2010.0
